word1,word2
,
가거주,실거주
가거주자,실거주자
가검,진검
가까이,멀리
가까이,외우
가까이하다,멀리하다
가는베,굵은베
가는소금,굵은소금
가는소금,왕소금
가늘다,굵다
가능,불능
가다,오다
가든,내야
가든,다이아
가든,다이아몬드
가로,세로
가로글씨,내리글씨
가로글씨,종서
가로금,세로금
가로대,세로대
가로대,세로축
가로대,와이축
가로돛,세로돛
가로띠,세로띠
가로쓰기,내리쓰기
가로쓰다,세로쓰다
가로줄눈,세로줄눈
가로지다,세로지다
가로짜기,세로짜기
가로짜기,종조
가로축,세로대
가로축,세로축
가로축,와이축
가로코,세로코
가로판벽,세로판벽
가로획,세로획
가름도움줄기,두루도움줄기
가름씨끝,두루씨끝
가명,실명
가모,가부
가모장,가부장
가벼운색,무거운색
가변,불변
가변어,불변어
가변형,고정형
가볍다,무겁다
가분물,불가분물
가산,감산
가산,뺄셈
가산법,감산법
가속,감속
가속하다,감속하다
가수,더하임수
가수,더해질수
가수,피가수
가수하다,감수하다
가습제,제습제
가시광선,비가시광선
가시선,비가시광선
가심,실심
가압하다,감압하다
가약,기약
가역,불가역
가역,비가역
가역성,비가역성
가연성,불연성
가용성,난용성
가용성,불용성
가의,악기
가의,악심
가입하다,탈퇴하다
가자,가부
가작,졸작
가작,태작
가전,가후금군
가전기,가후기
가전패두기,가후패두기
가정,관정
가중되다,경감되다
가중하다,경감하다
가지,불가지
가쪽,안측
가쪽,안통
가친,자위
가친,자친
가편,부편
가평하다,찬평하다
가하다,감하다
가학성,피학성
가학애,피학대성욕도착증
가학애,피학대음란증
가학애,피학성애
가학애,피학애
가학애,피학증
가학증,피학대성욕도착증
가학증,피학대음란증
가학증,피학성애
가학증,피학애
가학증,피학증
가해하다,피해하다
가화,생화
가획,감획
가후,가전
가후,가전군
각내,각외
각내상,각외상
각배,한배
각실하다,불성하다
각실하다,불충실하다
각운,두운
각운,머리운
각장,부장
각장,부폄
각장하다,부장하다
각장하다,합부하다
각장하다,합장하다
각피,내각
각피,속껍데기
각필하다,기필하다
간결체,만연체
간고등어,생고등어
간단반응,복잡반응
간단반응,복합반응
간류,지류
간류,지천
간물때,만조
간물때,찬물때
간부,밀부
간선,지선
간선제,직선제
간세,직세
간음,사이음
간음,파생음
간장남,간장녀
간접,직접
간접법,직접화법
간접세,직세
간접세,직접세
간접음,직접음
간접환,직접환
간조,고조
간조,만조
간조,찬물때
갈래꽃,통꽃
갈래꽃,합판화
갈래꽃류,통꽃류
갈래꽃류,합판화류
갈래꽃받침,통꽃받침
갈래꽃받침,합판꽃받침
갈래꽃받침,합판화악
갈래꽃부리,통꽃부리
갈래꽃부리,합판화관
갈비,뚱땡이
갈비,뚱뚱
갈비,뚱뚱보
갈비,뚱뚱이
갈비,뚱보
갈비씨,뚱땡이
갈수,풍수
갈수기,풍수기
갈수량,풍수량
감각계,가상계
감각계,예지계
감각계,예지세계
감각계,예지적세계
감각계,오성계
감결,가결
감군,증군
감급,가급
감다,뜨다
감량하다,증량하다
감물,참
감물,참물
감미,쓴맛
감봉,증봉
감봉,증질
감봉하다,증질하다
감산,가계
감산하다,증산하다
감선,가선
감성계,가상계
감성계,예지계
감성계,예지세계
감성계,예지적세계
감성계,오성계
감세,증세
감세하다,복상하다
감세하다,증세하다
감소,증다
감소,증첨
감소되다,증가되다
감소되다,증첨되다
감소세,증가세
감소수열,증가수열
감소수열,증가열
감소수열,증가하는수열
감소하다,증다하다
감소함수,증가함수
감수,증수
감수,가수
감수되다,증수되다
감압,가압
감액하다,증액하다
감언,고어
감원되다,증원되다
감원하다,증원하다
감익되다,증익되다
감익하다,증익하다
감자,자본증가
감자,증자
감조하다,증세하다
감지,고미
감지,쓴맛
감퇴되다,증진되다
감편,증편
감편하다,증편하다
감표,가표
감표,가호
감하다,늘다
감획하다,가획하다
값싸다,값비싸다
강겨자,연겨자
강골,약골
강교점,승교점
강구,약적
강급,승급
강기,약기
강기,여린내기
강남,강북
강년,황년
강년,황세
강대국,소약국
강대국,약소국
강대국,약소국가
강대국가,소약국
강대국가,약소국
강대국가,약소국가
강등,승진
강등권,승격권
강등제,승격제
강매,늑매
강모,연모
강보합,약보합
강보합세,약보합세
강산,약한산
강세장,약세장
강신악,송신악
강압,승압
강압기,부스터
강압기,승압변압기
강압하다,승압하다
강일,쌍일
강일,유일
강자,약자
강적,약적
강전정,약전정
강점,약점
강조,약조
강졸,약병
강졸,약졸
강주,소음
강직,승임
강직,승직
강직하다,승직하다
강직하다,승천하다
강진계,미동계
강진계,미진계
강차하다,승차하다
강팀,약팀
강판,등판
강하다,약하다
강행법,임의법
강행법,임의법규
강화되다,약화되다
강화하다,약화하다
갖은그림씨,불완전형용사
갖은그림씨,안갖은그림씨
갖은그림씨,안옹근그림씨
갖은남움직씨,불구타동사
갖은남움직씨,불완전타동사
갖은남움직씨,안갖은남움직씨
갖은움직씨,불구동사
갖은움직씨,불완전동사
갖은움직씨,안갖은움직씨
갖은제움직씨,불구자동사
갖은제움직씨,불완전자동사
갖은제움직씨,안갖은제움직씨
갖춘꽃,불완전꽃
갖춘꽃,안갖춘꽃
갖춘마디,불완전소절
갖춘마침,못갖춘마침
갖춘마침,불완전종지
갖춘잎,불완전엽
갖춘잎,안갖춘잎
같이하다,달리하다
개간,중각
개간지,미간지
개간지,미경지
개강,종강
개강식,종강식
개강하다,종강하다
개경,결경
개관,폐관
